NAME,POS,TEAM,AGE,FP
Connor McDavid,C,EDM,29,19.4
Nathan MacKinnon,C,COL,30,18
Leon Draisaitl,"C,LW",EDM,30,18
Brady Tkachuk,"C,LW",OTT,26,17.8
Auston Matthews,C,TOR,28,17.2
Nikita Kucherov,RW,T.B,32,16.4
David Pastrnak,RW,BOS,29,13.3
Mikko Rantanen,"LW,RW",DAL,29,13.3
Cale Makar,D,COL,27,12.6
Kirill Kaprizov,LW,MIN,28,12.5
J.T. Miller,"C,RW",NYR,33,12
Tom Wilson,RW,WSH,32,11.6
Sam Reinhart,"C,RW",FLA,30,11.1
Rasmus Dahlin,D,BUF,25,10.6
William Nylander,"C,RW",TOR,29,10.6
John Tavares,C,TOR,35,10.6
Jack Hughes,"C,LW",N.J,24,10.5
Adrian Kempe,RW,L.A,29,10.4
Jake Guentzel,LW,T.B,31,10.4
Andrei Svechnikov,"LW,RW",CAR,25,10.4
Matt Boldy,"LW,RW",MIN,24,10.4
Evan Bouchard,D,EDM,26,10.2
Artemi Panarin,LW,NYR,34,10.2
Brandon Hagel,"LW,RW",T.B,27,10.2
Jack Eichel,C,VGK,29,10.1
Brayden Point,C,T.B,30,10
Jason Robertson,"LW,RW",DAL,26,10
Matthew Knies,LW,TOR,23,9.7
Sebastian Aho,C,CAR,28,9.7
Mark Scheifele,C,WPG,33,9.7
Filip Forsberg,LW,NSH,31,9.7
Sam Bennett,C,FLA,29,9.4
Martin Necas,RW,COL,27,9.3
Tage Thompson,"C,RW",BUF,28,9.3
Kyle Connor,LW,WPG,29,9.2
Mitch Marner,RW,VGK,28,9.1
Timo Meier,"LW,RW",N.J,29,9.1
Carter Verhaeghe,LW,FLA,30,8.7
Kevin Fiala,LW,L.A,29,8.7
Dylan Guenther,RW,UTA,22,8.6
Vincent Trocheck,C,NYR,32,8.6
Tim Stützle,"C,LW",OTT,24,8.6
Alex Ovechkin,"LW,RW",WSH,40,8.5
Seth Jarvis,"C,LW,RW",CAR,24,8.5
Joel Eriksson Ek,C,MIN,29,8.4
Roope Hintz,C,DAL,29,8.3
Quinn Hughes,D,VAN,26,8.2
Elias Pettersson,"C,LW",VAN,27,8.2
Nico Hischier,C,N.J,27,8.2
Sidney Crosby,C,PIT,38,8.1
Victor Hedman,D,T.B,35,8
Nikolaj Ehlers,"LW,RW",CAR,30,8
Jesper Bratt,"LW,RW",N.J,27,7.9
Moritz Seider,D,DET,24,7.8
Adam Fox,D,NYR,28,7.8
Clayton Keller,"LW,RW",UTA,27,7.7
Wyatt Johnston,"C,RW",DAL,22,7.6
Nick Suzuki,C,MTL,26,7.4
Will Cuylle,"LW,RW",NYR,24,7.4
Mackenzie Weegar,D,CGY,32,7.3
Josh Morrissey,D,WPG,31,7.1
Alex Tuch,RW,BUF,29,7.1
Logan Cooley,C,UTA,21,7.1
Dylan Cozens,C,OTT,25,7.1
Drake Batherson,"LW,RW",OTT,27,7.1
Zach Hyman,"LW,RW",EDM,33,7
Nazem Kadri,C,CGY,35,6.9
Travis Konecny,"LW,RW",PHI,29,6.9
Thomas Harley,D,DAL,24,6.8
