RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
1,Connor McDavid,N,C,1,EDM,29,CA$12.5,19.4,0.2,11.3,0.9,1.2,0.2,,+,79,22.4,40,94,134,272,12,47,0,0,30,74,13,35,7,467,466,50%,,,,,,,,,,
2,Cale Makar,N,D,1,COL,27,CA$9.0,12.6,0.2,10.2,1.1,5.2,3.2,,+,79,25.8,25,65,90,241,9,36,1,2,134,54,9,25,4,0,0,0%,,,,,,,,,,
3,Nathan MacKinnon,N,C,2,COL,30,CA$12.6,18,0.2,9.9,0.8,2.4,-0.6,, ,80,22.7,40,80,120,343,9,37,0,0,60,46,11,35,6,698,773,47%,,,,,,,,,,
4,Leon Draisaitl,N,"C,LW",1,EDM,30,CA$14.0,18,0.2,9.9,0.7,2.7,-1.3,, ,80,21.8,50,64,115,258,20,41,0,0,32,42,12,41,8,775,623,55%,,,,,,,,,,
5,Brady Tkachuk,N,"C,LW",2,OTT,26,CA$8.2,17.8,0.2,9.6,1.2,10,5,,+,80,18.6,35,37,71,331,11,22,0,0,36,243,4,88,6,227,218,51%,,,,,,,,,,
6,Auston Matthews,N,C,5,TOR,28,CA$13.3,17.2,0.2,9,0.7,8.8,2.8,,+,78,21.8,51,50,102,339,14,30,1,2,99,70,9,23,8,786,656,54%,,,,,,,,,,
7,Nikita Kucherov,N,RW,1,T.B,32,CA$9.5,16.4,0.2,8.7,0.9,4.2,-2.8,, ,81,21,38,84,122,275,8,42,0,0,35,37,10,33,6,1,1,62%,,,,,,,,,,
8,Rasmus Dahlin,N,D,2,BUF,25,CA$11.0,10.6,0.1,8.2,0.7,26.3,18.3,,+,80,24.3,18,51,69,219,6,24,0,0,120,116,3,59,3,0,0,0%,,,,,,,,,,
9,Evan Bouchard,N,D,3,EDM,26,CA$10.5,10.2,0.1,7.8,0.7,20.4,11.4,,+,82,23.7,15,58,74,233,5,30,0,0,110,52,12,35,3,0,0,0%,,,,,,,,,,
10,Quinn Hughes,N,D,4,VAN,26,CA$7.9,8.2,0.1,5.8,0.7,12.1,2.1,,+,79,25.6,16,71,87,211,4,34,0,0,82,31,4,34,2,0,0,26%,,,,,,,,,,
11,Victor Hedman,N,D,5,T.B,35,CA$8.0,8,0.1,5.6,0.7,33.6,22.6,, ,80,24.2,13,52,65,184,3,23,0,0,133,58,8,39,2,0,0,0%,,,,,,,,,,
12,David Pastrnak,N,RW,2,BOS,29,CA$11.3,13.3,0.2,5.6,0.5,7.2,-4.8,, ,82,20.1,46,59,105,336,11,27,0,0,26,65,1,40,6,4,8,37%,,,,,,,,,,
13,Moritz Seider,N,D,6,DET,24,CA$8.6,7.8,0.1,5.4,0.6,53.8,40.8,, ,82,25.5,9,40,49,165,3,22,0,1,188,191,-2,47,1,0,0,0%,,,,,,,,,,
14,Adam Fox,N,D,7,NYR,28,CA$9.5,7.8,0.1,5.4,0.6,46.9,32.9,,+,79,24.7,14,59,73,159,3,26,0,1,132,53,6,39,2,0,0,0%,,,,,,,,,,
15,Mikko Rantanen,N,"LW,RW",3,DAL,29,CA$12.0,13.3,0.2,5.1,0.4,10.4,-4.6,,+,82,21,39,56,95,237,11,29,0,0,45,52,7,50,6,163,149,52%,,,,,,,,,,
16,Mackenzie Weegar,N,D,8,CGY,32,CA$6.3,7.3,0.1,4.9,0.8,46.9,30.9,,-,82,23.8,12,35,47,185,3,17,0,2,180,187,-2,44,2,0,1,0%,,,,,,,,,,
17,Josh Morrissey,N,D,9,WPG,31,CA$6.3,7.1,0.1,4.7,0.8,39.4,22.4,, ,81,24.5,13,53,66,181,2,21,0,0,116,67,7,37,2,0,0,0%,,,,,,,,,,
