,,,,GOALIE STATS,,,,,,,
Player,Team,Age,Pos,GP,W,L,OTL,SO,SV,SV%,GA
Lukas Dostal,ANA,25,G,55.00000000000000000000,0.44636257650902500000,0.41522806761823100000,0.13840935587274400000,0.04708755797826640000,28.11173257554220000000,0.90566697987614300000,2.92807918770293000000
Petr Mrazek,ANA,33,G,23.00000000000000000000,0.41950369988289900000,0.43537222508782600000,0.14512407502927500000,0.03724876136028070000,27.98278373389100000000,0.90151267499070300000,3.05702802935412000000
Jeremy Swayman,BOS,26,G,55.00000000000000000000,0.43266970586701100000,0.42549772059974200000,0.14183257353324700000,0.05414318541327020000,27.15306909554070000000,0.90544407506546700000,2.83560700637916000000
Joonas Korpisalo,BOS,31,G,25.00000000000000000000,0.40797374966660000000,0.44401968775005200000,0.14800656258335000000,0.03470587324566200000,26.89832057434010000000,0.89694925120812700000,3.09035552757979000000
Alex Lyon,BUF,32,G,30.00000000000000000000,0.49741305983198300000,0.37694020512601300000,0.12564673504200400000,0.05139141243322170000,26.48866671389340000000,0.90219213091747700000,2.87167218305083000000
Ukko-Pekka Luukkonen,BUF,26,G,50.00000000000000000000,0.51001725904495000000,0.36748705571628800000,0.12249568523876300000,0.04966085142293040000,26.46598570458420000000,0.90141962589330800000,2.89435319236002000000
Frederik Andersen,CAR,35,G,30.00000000000000000000,0.58051763195873000000,0.31461177603095200000,0.10487059201031800000,0.06367044601262070000,25.92428917664900000000,0.90533478856437400000,2.71074120560130000000
Pyotr Kochetkov,CAR,26,G,45.00000000000000000000,0.58815828683768200000,0.30888128487173800000,0.10296042829058000000,0.06103146031233760000,25.88970220810000000000,0.90412693342724900000,2.74532817415023000000
Jet Greaves,CBJ,24,G,35.00000000000000000000,0.48153972631899700000,0.38884520526075100000,0.12961506842025100000,0.06208954210944890000,27.11209935994670000000,0.90847403018692500000,2.73146078493514000000
Elvis Merzlikins,CBJ,31,G,40.00000000000000000000,0.46433838509353300000,0.40174621117985000000,0.13391540372661700000,0.04171525561992950000,26.84507070346550000000,0.89952641618963700000,2.99848944141639000000
Dustin Wolf,CGY,24,G,57.00000000000000000000,0.43930799452103700000,0.42051900410922300000,0.14017300136974100000,0.06299873995133830000,26.95961716413410000000,0.90836854808209400000,2.71954469264301000000
