,,,,,PLAYER STATS,,,,,,,,,,,,,,,,
Player,Team,Age,Pos,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%
Connor McDavid,EDM,29,C,78.5425000000000000000000000,22.3636390062500000000000000,0.4874109896138120000000000,1.1339812926281300000000000,1.6213922822419400000000000,3.3802880445545100000000000,0.1470160129425940000000000,0.5650045789665060000000000,0.0015496736101967300000000,0.0025538913003709500000000,0.3835949112539980000000000,0.9382793669974790000000000,0.1627902539488630000000000,0.4441563139449520000000000,0.0807390240274951000000000,5.9396153509604900000000000,5.9383881362912900000000000,0.5000516591307000000000000
Nikita Kucherov,T.B,32,RW,80.8000000000000000000000000,21.0177333520950000000000000,0.4708469484613000000000000,1.0370652255044700000000000,1.5079121739657700000000000,3.4050869080920900000000000,0.1036362200752970000000000,0.5200757396989930000000000,0.0000670207822403126000000,0.0001114518433638210000000,0.4372710557826260000000000,0.4529938002562550000000000,0.1284014169135370000000000,0.4127866299692930000000000,0.0792184811780277000000000,0.0178935352925321000000000,0.0109971700209901000000000,0.6193526637148960000000000
Nathan MacKinnon,COL,30,C,80.3975000000000000000000000,22.6730888354527000000000000,0.4999332795920510000000000,0.9912031143283150000000000,1.4911363939203700000000000,4.2710855044366100000000000,0.1161972300726720000000000,0.4568272793078680000000000,0.0002911717650400670000000,0.0004842024945762790000000,0.7449576188701660000000000,0.5781827987154900000000000,0.1425082723618390000000000,0.4329398444006940000000000,0.0787899450690889000000000,8.6759156983948900000000000,9.6169372336062100000000000,0.4742789837454740000000000
Leon Draisaitl,EDM,30,"C,LW",79.7400000000000000000000000,21.7541757502404000000000000,0.6299198432657880000000000,0.8073235892397610000000000,1.4372434325055500000000000,3.2382384073666000000000000,0.2565730722998730000000000,0.5138128705796050000000000,0.0004517493944287720000000,0.0012597702552166100000000,0.4029004652928200000000000,0.5258340678115040000000000,0.1507120870964740000000000,0.5200330852076150000000000,0.1043454383355810000000000,9.7152421163552800000000000,7.8121344079952100000000000,0.5542895768147650000000000
David Pastrnak,BOS,29,RW,82.0300000000000000000000000,20.0817098334603000000000000,0.5591270540694450000000000,0.7184005528407130000000000,1.2775276069101600000000000,4.1007587196142900000000000,0.1289728301521060000000000,0.3273203683538760000000000,0.0001754392326352280000000,0.0002917457126271720000000,0.3166027995268850000000000,0.7945362489171780000000000,0.0075565914646296300000000,0.4889877367330390000000000,0.0756724215045874000000000,0.0541913192263776000000000,0.0915627986367139000000000,0.3717995760317390000000000
Kirill Kaprizov,MIN,28,LW,72.2900000000000000000000000,22.4590475284299000000000000,0.5845762149863760000000000,0.6584966072382830000000000,1.2430728222246600000000000,3.6239607203103000000000000,0.1630760413253770000000000,0.3904564503670740000000000,0.0000538584721142478000000,0.0000895636517098323000000,0.4941573417161510000000000,0.6436557365974280000000000,0.0609532927962395000000000,0.4998688457127760000000000,0.0899060992904501000000000,0.0066372610508346000000000,0.0549096573543993000000000,0.1078406721703580000000000
Auston Matthews,TOR,28,C,78.4300000000000000000000000,21.8270588331791000000000000,0.6250467897246220000000000,0.6123579485861100000000000,1.2374047383107300000000000,4.2226415756017600000000000,0.1725719762513390000000000,0.3691886205874800000000000,0.0178386890183423000000000,0.0237216143075713000000000,1.2635722415306000000000000,0.8937967741958490000000000,0.1150376951521410000000000,0.2989077991960930000000000,0.0912123331006877000000000,10.0183847924755000000000000,8.3694146669317900000000000,0.5448387021292020000000000
Mitch Marner,VGK,28,RW,79.8650000000000000000000000,20.7621671941810000000000000,0.3533791395940330000000000,0.8381148884360560000000000,1.1914940280300900000000000,2.2298391734242900000000000,0.0866264746344635000000000,0.3646020614691110000000000,0.0130083305149679000000000,0.0200816750970515000000000,0.5533071854574170000000000,0.7103816282133160000000000,0.0872260518157370000000000,0.2854924975827660000000000,0.0600936973363683000000000,0.0641539390121516000000000,0.2684828144467180000000000,0.1928648543645800000000000
Artemi Panarin,NYR,34,LW,81.6750000000000000000000000,19.7532589670732000000000000,0.4814350358594540000000000,0.7034992548769930000000000,1.1849342907364500000000000,2.9886039559013900000000000,0.1074307781084000000000000,0.3698619252451120000000000,0.0000932683861939538000000,0.0001551001528393440000000,0.1934345541381670000000000,0.3050055096471770000000000,0.0470885466585738000000000,0.3317348787671910000000000,0.0804307128499196000000000,0.0068694602190216300000000,0.0544542395413220000000000,0.1120196636189250000000000
